Byte pair, Frequency
(65, 279), -> [3]
(279, 256), -> [28]
(110, 295), -> [24]
(32, 310), -> [5]
(310, 108), -> [2]
(311, 117), -> [9]
(111, 98), -> [61]
(98, 105), -> [21]
(104, 307), -> [11]
(100, 111), -> [41]
(116, 265), -> [26]
(265, 121), -> [267]
(297, 105), -> [40]
(266, 97), -> [34]
(272, 121), -> [14]
(345, 111), -> [23]
(107, 296), -> [20]
(296, 101), -> [22]
(256, 109), -> [31]
(109, 258), -> [19]
(258, 101), -> [63]
(98, 100), -> [2]
(117, 260), -> [5]
(100, 110), -> [29]
(110, 298), -> [28]
(298, 104), -> [82]
(104, 116), -> [76]
(45, 114), -> [14]
(100, 260), -> [43]
(98, 116), -> [1]
(116, 335), -> [5]
(335, 108), -> [3]
(108, 260), -> [27]
(86, 256), -> [33]
(311, 279), -> [15]
(116, 101), -> [93]
(278, 263), -> [225]
(263, 115), -> [14]
(306, 112), -> [31]
(97, 119), -> [22]
(119, 110), -> [44]
(67, 114), -> [7]
(117, 101), -> [46]
(264, 117), -> [27]
(109, 109), -> [65]
(67, 341), -> [6]
(341, 298), -> [6]
(298, 266), -> [6]
(87, 342), -> [6]
(342, 111), -> [4]
(65, 110), -> [8]
(45, 72), -> [7]
(72, 256), -> [9]
(256, 111), -> [6]
(65, 301), -> [10]
(101, 301), -> [69]
(73, 115), -> [63]
(79, 118), -> [11]
(63, 292), -> [12]
(69, 114), -> [42]
(114, 336), -> [39]
(278, 309), -> [69]
(288, 112), -> [25]
(112, 266), -> [16]
(266, 121), -> [37]
(121, 295), -> [10]
(349, 262), -> [57]
(262, 99), -> [30]
(256, 116), -> [55]
(310, 97), -> [44]
(331, 298), -> [28]
(298, 263), -> [26]
(263, 272), -> [26]
(45, 103), -> [16]
(261, 309), -> [34]
(269, 108), -> [68]
(261, 105), -> [20]
(112, 310), -> [23]
(101, 352), -> [17]
(331, 336), -> [53]
(256, 269), -> [17]
(117, 285), -> [14]
(76, 262), -> [8]
(80, 262), -> [4]
(262, 100), -> [25]
(264, 289), -> [6]
(267, 301), -> [36]
(264, 104), -> [33]
(104, 258), -> [12]
(345, 105), -> [37]
(79, 110), -> [32]
(340, 258), -> [34]
(258, 108), -> [51]
(108, 100), -> [141]
(301, 295), -> [78]
(307, 105), -> [58]
(266, 115), -> [55]
(316, 118), -> [26]
(344, 342), -> [44]
(342, 338), -> [61]
(306, 111), -> [31]
(101, 290), -> [46]
(110, 97), -> [60]
(109, 260), -> [45]
(71, 108), -> [29]
(98, 269), -> [25]
(104, 333), -> [21]
(109, 289), -> [60]
(345, 260), -> [3]
(260, 256), -> [5]
(256, 287), -> [16]
(80, 104), -> [26]
(104, 262), -> [12]
(262, 111), -> [9]
(256, 101), -> [55]
(101, 336), -> [6]
(316, 112), -> [23]
(112, 290), -> [44]
(290, 260), -> [12]
(306, 269), -> [13]
(269, 289), -> [22]
(340, 101), -> [27]
(101, 107), -> [51]
(276, 291), -> [21]
(291, 269), -> [31]
(269, 101), -> [37]
(114, 295), -> [37]
(344, 111), -> [52]
(111, 272), -> [75]
(45, 272), -> [5]
(340, 288), -> [29]
(102, 121), -> [17]
(267, 112), -> [100]
(112, 347), -> [46]
(98, 342), -> [10]
(338, 97), -> [6]
(105, 333), -> [18]
(332, 99), -> [31]
(278, 105), -> [92]
(311, 112), -> [14]
(265, 260), -> [8]
(272, 115), -> [64]
(274, 111), -> [117]
(111, 301), -> [122]
(116, 262), -> [92]
(71, 333), -> [37]
(264, 262), -> [69]
(345, 258), -> [40]
(258, 98), -> [25]
(98, 289), -> [30]
(346, 258), -> [41]
(297, 111), -> [21]
(119, 256), -> [24]
(102, 117), -> [23]
(346, 288), -> [16]
(288, 290), -> [28]
(71, 114), -> [78]
(109, 121), -> [58]
(340, 259), -> [27]
(259, 115), -> [33]
(80, 270), -> [10]
(270, 109), -> [9]
(109, 283), -> [3]
(283, 105), -> [4]
(69, 109), -> [16]
(52, 48), -> [26]
(50, 51), -> [95]
(69, 265), -> [9]
(265, 352), -> [11]
(32, 323), -> [8]
(323, 108), -> [8]
(100, 104), -> [3]
(331, 288), -> [5]
(346, 121), -> [7]
(121, 288), -> [4]
(288, 105), -> [5]
(340, 336), -> [86]
(44, 91), -> [118]
(324, 97), -> [23]
(276, 287), -> [5]
(287, 104), -> [27]
(264, 99), -> [21]
(116, 116), -> [41]
(32, 75), -> [125]
(75, 295), -> [6]
(295, 115), -> [20]
(115, 347), -> [4]
(347, 121), -> [30]
(276, 258), -> [199]
(272, 111), -> [9]
(107, 98), -> [2]
(107, 256), -> [32]
(297, 256), -> [3]
(256, 270), -> [3]
(270, 301), -> [5]
(76, 121), -> [15]
(110, 285), -> [13]
(267, 110), -> [85]
(100, 333), -> [12]
(71, 341), -> [4]
(341, 110), -> [1]
(110, 256), -> [38]
(110, 195), -> [2]
(195, 169), -> [5]
(169, 101), -> [2]
(107, 260), -> [36]
(344, 117), -> [8]
(117, 269), -> [40]
(276, 117), -> [13]
(344, 265), -> [8]
(265, 107), -> [38]
(107, 283), -> [18]
(283, 295), -> [12]
(120, 310), -> [6]
(310, 117), -> [13]
(32, 121), -> [53]
(121, 309), -> [22]
(110, 103), -> [47]
(103, 256), -> [21]
(267, 117), -> [147]
(93, 10), -> [82]
(71, 256), -> [5]
(289, 99), -> [23]
(99, 290), -> [26]
(103, 108), -> [22]
(272, 266), -> [9]
(266, 116), -> [52]
(116, 269), -> [17]
(269, 105), -> [32]
(93, 91), -> [164]
(337, 287), -> [3]
(287, 256), -> [11]
(103, 333), -> [11]
(308, 102), -> [2]
(102, 287), -> [2]
(320, 104), -> [114]
(104, 265), -> [59]
(320, 265), -> [18]
(265, 109), -> [7]
(109, 259), -> [12]
(262, 105), -> [5]
(314, 269), -> [3]
(269, 100), -> [6]
(109, 298), -> [1]
(298, 114), -> [1]
(114, 266), -> [38]
(349, 288), -> [33]
(288, 109), -> [23]
(109, 117), -> [16]
(110, 335), -> [19]
(335, 121), -> [49]
(32, 347), -> [24]
(347, 97), -> [16]
(115, 289), -> [30]
