Byte pair, Frequency
(353, 98), -> [18]
(98, 278), -> [45]
(45, 264), -> [15]
(264, 256), -> [68]
(103, 257), -> [22]
(257, 34), -> [31]
(34, 87), -> [12]
(87, 256), -> [7]
(316, 256), -> [8]
(256, 78), -> [7]
(78, 101), -> [149]
(118, 272), -> [24]
(272, 69), -> [8]
(69, 118), -> [34]
(272, 71), -> [8]
(71, 101), -> [18]
(101, 116), -> [119]
(116, 116), -> [70]
(325, 66), -> [7]
(66, 97), -> [24]
(32, 84), -> [141]
(101, 267), -> [20]
(278, 300), -> [18]
(300, 83), -> [13]
(331, 100), -> [9]
(101, 112), -> [156]
(112, 271), -> [32]
(268, 317), -> [3]
(317, 32), -> [56]
(272, 99), -> [22]
(273, 105), -> [3]
(105, 109), -> [157]
(256, 277), -> [15]
(257, 338), -> [17]
(121, 110), -> [34]
(110, 267), -> [6]
(267, 45), -> [7]
(353, 32), -> [101]
(112, 112), -> [71]
(112, 291), -> [43]
(268, 98), -> [43]
(98, 273), -> [79]
(273, 275), -> [18]
(275, 284), -> [4]
(284, 271), -> [28]
(116, 45), -> [40]
(45, 305), -> [2]
(305, 112), -> [49]
(112, 325), -> [8]
(325, 115), -> [18]
(103, 262), -> [34]
(262, 34), -> [15]
(34, 83), -> [19]
(83, 104), -> [62]
(107, 256), -> [48]
(256, 73), -> [18]
(73, 266), -> [15]
(266, 79), -> [13]
(79, 102), -> [25]
(102, 102), -> [51]
(102, 34), -> [3]
(34, 257), -> [63]
(34, 66), -> [21]
(66, 108), -> [47]
(270, 107), -> [29]
(32, 83), -> [134]
(258, 66), -> [13]
(100, 300), -> [29]
(300, 77), -> [18]
(99, 114), -> [11]
(114, 117), -> [150]
(117, 116), -> [102]
(263, 273), -> [3]
(273, 263), -> [15]
(263, 115), -> [23]
(275, 104), -> [15]
(112, 45), -> [16]
(45, 104), -> [6]
(104, 111), -> [80]
(45, 263), -> [4]
(268, 281), -> [1]
(298, 279), -> [84]
(279, 40), -> [28]
(49, 55), -> [101]
(55, 41), -> [3]
(262, 110), -> [8]
(256, 34), -> [21]
(111, 107), -> [37]
(87, 104), -> [55]
(266, 89), -> [7]
(100, 256), -> [47]
(256, 77), -> [29]
(77, 256), -> [4]
(256, 68), -> [18]
(68, 111), -> [34]
(111, 34), -> [6]
(34, 294), -> [1]
(294, 65), -> [3]
(65, 102), -> [14]
(102, 116), -> [35]
(110, 325), -> [20]
(49, 56), -> [111]
(56, 257), -> [9]
(257, 282), -> [59]
(266, 320), -> [16]
(275, 342), -> [2]
(342, 108), -> [2]
(99, 32), -> [31]
(32, 76), -> [54]
(346, 272), -> [43]
(272, 40), -> [15]
(319, 275), -> [38]
(275, 97), -> [4]
(97, 117), -> [77]
(117, 305), -> [4]
(305, 98), -> [2]
(98, 105), -> [32]
(104, 340), -> [11]
(292, 100), -> [5]
(100, 111), -> [44]
(99, 353), -> [10]
(116, 271), -> [24]
(271, 273), -> [259]
(273, 77), -> [29]
(77, 105), -> [56]
(115, 262), -> [15]
(262, 65), -> [43]
(270, 338), -> [15]
(338, 40), -> [66]
(261, 261), -> [38]
(261, 315), -> [1]
(315, 83), -> [1]
(331, 101), -> [3]
(268, 263), -> [24]
(105, 256), -> [39]
(256, 102), -> [26]
(339, 121), -> [13]
(349, 279), -> [3]
(279, 275), -> [52]
(261, 32), -> [19]
(262, 70), -> [15]
(107, 108), -> [42]
(291, 256), -> [46]
(319, 69), -> [13]
(278, 109), -> [31]
(109, 291), -> [39]
(291, 101), -> [40]
(98, 100), -> [2]
(117, 268), -> [5]
(268, 101), -> [5]
(32, 279), -> [45]
(279, 77), -> [14]
(100, 110), -> [30]
(110, 105), -> [95]
(103, 104), -> [145]
(104, 116), -> [52]
(50, 50), -> [110]
(319, 320), -> [10]
(320, 45), -> [9]
(45, 320), -> [13]
(100, 268), -> [42]
(268, 102), -> [25]
(260, 274), -> [1]
(98, 298), -> [1]
(298, 116), -> [11]
(116, 108), -> [37]
(108, 268), -> [23]
(268, 302), -> [1]
(302, 291), -> [36]
(291, 344), -> [33]
(344, 86), -> [27]
(86, 278), -> [33]
(105, 279), -> [63]
(279, 97), -> [10]
(97, 102), -> [27]
(272, 338), -> [7]
(338, 100), -> [7]
(116, 256), -> [64]
(259, 84), -> [8]
(84, 104), -> [62]
(104, 310), -> [30]
(310, 256), -> [7]
(97, 119), -> [36]
(119, 110), -> [44]
(275, 110), -> [4]
(34, 67), -> [14]
(67, 114), -> [17]
(117, 101), -> [29]
(83, 353), -> [5]
(353, 109), -> [7]
(109, 278), -> [15]
(278, 34), -> [12]
(67, 271), -> [38]
(270, 34), -> [14]
(87, 343), -> [31]
(343, 111), -> [4]
(119, 34), -> [8]
(34, 65), -> [10]
(65, 110), -> [93]
(110, 298), -> [11]
(298, 45), -> [9]
(45, 72), -> [7]
(72, 278), -> [14]
(278, 111), -> [6]
(65, 301), -> [46]
(101, 301), -> [78]
(301, 34), -> [1]
(34, 73), -> [15]
(73, 262), -> [54]
(262, 73), -> [17]
(79, 118), -> [11]
(272, 78), -> [6]
(119, 63), -> [3]
(63, 300), -> [12]
(300, 72), -> [8]
(69, 114), -> [42]
(114, 348), -> [35]
(348, 84), -> [30]
(260, 40), -> [14]
(51, 226), -> [5]
(147, 261), -> [12]
(50, 52), -> [96]
(286, 112), -> [25]
(112, 270), -> [20]
